hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
City Hotel,1,314,2015,August,35,27,0,2,2,0,0,BB,PRT,Groups,TA/TO,1,1,0,A,A,0,No Deposit,1,,0,Transient-Party,62.8,0,0,Canceled,17-10-2014
City Hotel,0,170,2017,August,31,5,0,1,2,0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,130.5,0,1,Check-Out,06-08-2017
City Hotel,0,30,2015,October,41,8,0,0,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,K,0,No Deposit,50,,0,Transient,0,0,0,Check-Out,08-10-2015
City Hotel,1,323,2015,September,36,5,2,2,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,1,,0,Transient-Party,62,0,0,Canceled,06-07-2015
Resort Hotel,0,288,2015,September,36,2,1,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,240,,0,Transient-Party,110.7,0,0,Check-Out,07-09-2015
City Hotel,1,46,2017,June,25,20,0,1,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,229,,0,Transient-Party,90,0,0,Canceled,06-06-2017
City Hotel,0,110,2016,August,35,21,2,5,2,2,0,BB,FRA,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,7,,0,Transient,205.38,0,2,Check-Out,28-08-2016
City Hotel,0,7,2016,May,21,19,0,2,2,2,0,BB,BRA,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,8,,0,Transient,296,0,2,Check-Out,21-05-2016
Resort Hotel,0,12,2016,August,33,13,1,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,,0,Transient,270,0,1,Check-Out,15-08-2016
City Hotel,1,30,2016,June,23,2,0,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,235,,0,Transient,140,0,0,Canceled,03-05-2016
Resort Hotel,0,179,2017,May,19,7,2,0,2,0,0,BB,BRA,Direct,Direct,0,0,0,A,A,1,No Deposit,,,0,Transient,74.25,0,2,Check-Out,09-05-2017
Resort Hotel,1,99,2015,August,34,22,2,2,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,166,0,2,Canceled,23-07-2015
Resort Hotel,0,35,2016,December,52,21,0,2,1,0,0,BB,PRT,Online TA,TA/TO,1,0,5,A,D,2,No Deposit,314,,0,Group,34.4,0,0,Check-Out,23-12-2016
City Hotel,0,84,2015,November,48,27,1,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1,,0,Transient-Party,64,0,0,Check-Out,30-11-2015
City Hotel,1,454,2016,October,41,6,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1,,0,Transient,62,0,0,Canceled,21-10-2015
City Hotel,0,4,2017,May,21,21,2,0,1,0,0,BB,DEU,Aviation,Corporate,1,0,1,A,E,0,No Deposit,,153,0,Transient,150,0,0,Check-Out,23-05-2017
City Hotel,1,108,2017,July,30,24,1,2,3,0,0,BB,NLD,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,,0,Transient,195,0,1,Canceled,17-04-2017
City Hotel,0,85,2015,September,40,30,0,3,2,0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,31,,80,Transient-Party,125,0,0,Check-Out,03-10-2015
Resort Hotel,0,74,2016,April,15,9,2,5,1,0,0,BB,IRL,Groups,TA/TO,0,0,0,A,A,1,No Deposit,91,,0,Transient-Party,36,0,0,Check-Out,16-04-2016
City Hotel,0,405,2017,July,27,4,0,2,2,0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6,,0,Transient-Party,114.4,0,0,Check-Out,06-07-2017
City Hotel,1,50,2015,October,43,24,0,1,2,0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,146,0,0,Canceled,15-10-2015
Resort Hotel,1,352,2015,September,39,24,1,3,27,0,0,HB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Group,0,0,0,Canceled,02-01-2015
City Hotel,1,178,2016,April,18,28,0,3,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,19,,46,Transient,110,0,0,Canceled,18-12-2015
City Hotel,0,214,2017,March,13,26,2,2,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,88.4,0,2,Check-Out,30-03-2017
City Hotel,0,47,2016,February,8,20,0,1,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,B,B,1,No Deposit,9,,0,Transient-Party,71.52,0,0,Check-Out,21-02-2016
Resort Hotel,1,46,2017,May,22,31,1,4,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,172,0,1,Canceled,10-05-2017
Resort Hotel,1,16,2016,August,34,18,0,3,2,0,0,BB,RUS,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,,0,Transient,247.33,0,1,Canceled,08-08-2016
Resort Hotel,0,0,2016,February,6,1,1,0,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,D,0,No Deposit,,,0,Transient,39,0,1,Check-Out,02-02-2016
Resort Hotel,0,3,2016,January,3,11,1,2,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,96,,0,Transient,25,0,0,Check-Out,14-01-2016
Resort Hotel,0,20,2016,July,31,24,2,2,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,,0,Transient,149.38,0,2,Check-Out,28-07-2016
City Hotel,0,5,2016,April,18,27,0,1,1,0,0,BB,ESP,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient-Party,121,0,0,Check-Out,28-04-2016
City Hotel,0,42,2016,August,35,23,0,5,3,0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,,0,Transient,168.3,0,0,Check-Out,28-08-2016
Resort Hotel,0,2,2016,October,44,23,2,2,1,0,0,SC,SWE,Online TA,TA/TO,0,0,0,A,I,0,No Deposit,241,,0,Transient,4.5,0,1,Check-Out,27-10-2016
Resort Hotel,0,4,2017,April,15,14,1,2,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,E,E,3,No Deposit,181,,0,Transient-Party,148.1,0,0,Check-Out,17-04-2017
Resort Hotel,0,13,2016,November,46,7,1,4,2,0,0,BB,USA,Offline TA/TO,TA/TO,0,0,0,D,E,1,No Deposit,6,,0,Transient,37,0,0,Check-Out,12-11-2016
Resort Hotel,0,169,2016,April,16,16,2,4,3,0,0,HB,FRA,Offline TA/TO,TA/TO,0,0,0,A,C,1,No Deposit,196,,0,Transient,80.1,0,1,Check-Out,22-04-2016
City Hotel,1,215,2016,November,49,30,0,4,0,2,0,BB,ROU,Online TA,TA/TO,0,0,0,B,B,0,No Deposit,9,,0,Transient,67.26,0,0,Canceled,03-08-2016
City Hotel,0,209,2016,August,34,16,0,4,2,0,0,BB,MOZ,Online TA,TA/TO,0,0,0,A,A,3,No Deposit,9,,0,Transient-Party,90.95,0,1,Check-Out,20-08-2016
City Hotel,0,30,2017,April,13,1,1,1,2,0,0,BB,BRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,,0,Transient,150,0,0,Check-Out,03-04-2017
City Hotel,0,228,2016,October,45,30,2,1,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,93.3,0,0,Check-Out,02-11-2016
City Hotel,0,20,2016,January,5,29,1,2,2,0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,,0,Transient,99,0,1,Check-Out,01-02-2016
Resort Hotel,0,169,2016,March,14,31,0,3,2,0,0,BB,GBR,Groups,Direct,0,0,0,A,A,1,Refundable,,223,0,Transient-Party,66,0,0,Check-Out,03-04-2016
City Hotel,0,26,2017,April,17,26,0,2,1,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,1,No Deposit,87,,0,Transient-Party,139,0,0,Check-Out,28-04-2017
City Hotel,1,103,2016,October,42,9,1,0,3,0,0,BB,ISR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,,0,Transient,151.2,0,0,Canceled,08-07-2016
City Hotel,0,80,2017,January,1,5,2,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,159,,0,Transient,24.83,0,0,Check-Out,11-01-2017
Resort Hotel,0,0,2016,March,12,17,0,1,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,314,,0,Transient-Party,34.4,0,0,Check-Out,18-03-2016
Resort Hotel,0,32,2016,April,17,19,0,1,2,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,F,0,No Deposit,,397,0,Transient,59,0,1,Check-Out,20-04-2016
Resort Hotel,0,41,2016,April,17,23,2,3,2,0,0,BB,GBR,Direct,Direct,0,0,0,D,D,3,No Deposit,250,,0,Transient,59.22,0,1,Check-Out,28-04-2016
Resort Hotel,0,151,2015,August,34,22,2,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,181,,0,Transient-Party,96.3,0,1,Check-Out,26-08-2015
City Hotel,0,245,2017,July,27,4,0,4,2,0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,,0,Transient,65.18,0,1,Check-Out,08-07-2017
Resort Hotel,0,1,2016,August,32,3,0,2,2,0,0,BB,IRL,Direct,Direct,0,0,0,A,C,2,No Deposit,,,0,Transient,201,0,0,Check-Out,05-08-2016
City Hotel,0,4,2016,October,41,7,0,2,2,1,0,BB,ESP,Online TA,TA/TO,0,0,0,A,B,1,No Deposit,83,,0,Transient,151.5,0,0,Check-Out,09-10-2016
City Hotel,1,150,2017,June,24,17,2,3,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,120,0,0,Canceled,18-01-2017
Resort Hotel,1,42,2017,July,30,26,2,5,2,0,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,,,0,Transient,220,0,2,Canceled,19-06-2017
City Hotel,0,16,2015,September,39,25,2,3,1,0,0,BB,GBR,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1,,0,Transient-Party,170,0,0,Check-Out,30-09-2015
Resort Hotel,0,108,2017,July,28,14,4,10,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40,,0,Contract,134.85,0,0,Check-Out,28-07-2017
City Hotel,0,320,2016,August,34,20,2,1,2,0,0,BB,BEL,Online TA,TA/TO,0,0,0,B,B,0,No Deposit,9,,0,Contract,94.95,0,1,Check-Out,23-08-2016
City Hotel,1,1,2017,March,11,14,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,2,No Deposit,,,0,Transient,65,0,0,Canceled,14-03-2017
City Hotel,0,102,2017,June,26,28,0,2,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,,0,Transient,117,0,2,Check-Out,30-06-2017
Resort Hotel,0,0,2017,February,8,20,1,0,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,50,1,0,Check-Out,21-02-2017
City Hotel,0,9,2017,August,35,28,1,3,2,2,0,BB,ESP,Direct,Direct,0,0,0,E,E,0,No Deposit,14,,0,Transient,210,0,0,Check-Out,01-09-2017
City Hotel,0,15,2017,February,7,14,0,1,2,0,1,HB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,14,,0,Transient,259,0,3,Check-Out,15-02-2017
City Hotel,0,100,2016,September,40,28,0,4,2,0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,B,1,No Deposit,26,,0,Transient-Party,140,0,1,Check-Out,02-10-2016
City Hotel,0,0,2017,June,25,21,0,1,1,0,0,BB,PRT,Complementary,Direct,1,4,16,E,C,0,No Deposit,,45,0,Transient,0,0,3,Check-Out,22-06-2017
Resort Hotel,0,1,2015,September,38,16,0,1,1,0,0,BB,PRT,Corporate,Direct,0,0,0,A,A,0,No Deposit,,72,0,Transient,75,0,0,Check-Out,17-09-2015
City Hotel,1,300,2016,November,46,11,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1,,0,Transient,65,0,0,Canceled,14-03-2016
Resort Hotel,1,98,2016,May,22,23,1,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,,0,Transient,73,0,0,Canceled,04-03-2016
City Hotel,0,32,2016,August,34,14,1,0,2,1,0,BB,NLD,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7,,0,Transient,136.52,0,1,Check-Out,15-08-2016
City Hotel,0,43,2015,October,44,31,2,1,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,28,,0,Transient,65,0,0,Check-Out,03-11-2015
City Hotel,1,374,2015,October,44,26,1,1,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,,0,Contract,62,0,0,Canceled,01-01-2015
City Hotel,0,21,2016,April,16,13,0,1,2,0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,10,,0,Transient,119,0,0,Check-Out,14-04-2016
Resort Hotel,1,19,2017,February,8,25,1,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,,0,Transient,62,0,3,Canceled,12-02-2017
City Hotel,0,198,2017,August,31,2,1,4,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,28,,0,Transient,103.5,0,1,Check-Out,07-08-2017
City Hotel,0,14,2017,July,29,18,0,2,1,0,0,BB,AUT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8,,0,Transient,150,0,1,Check-Out,20-07-2017
City Hotel,0,198,2017,June,22,2,2,2,2,0,0,BB,AUT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,,0,Transient,157.5,0,2,Check-Out,06-06-2017
Resort Hotel,1,17,2015,December,50,11,0,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,D,D,0,No Deposit,15,,0,Transient,37,0,1,Canceled,27-11-2015
Resort Hotel,0,20,2016,January,2,4,2,5,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,,0,Transient,52.8,0,2,Check-Out,11-01-2016
City Hotel,0,1,2016,June,27,29,0,3,2,2,0,BB,ITA,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,7,,0,Transient,209.1,0,2,Check-Out,02-07-2016
City Hotel,1,64,2016,May,22,27,0,2,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,,0,Transient,140.4,0,0,Canceled,31-03-2016
Resort Hotel,0,0,2015,October,42,14,0,1,1,0,0,BB,,Corporate,Corporate,0,0,1,A,D,0,No Deposit,,135,0,Transient,48,1,1,Check-Out,15-10-2015
City Hotel,1,16,2016,March,13,25,1,2,2,1,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,165.67,0,0,Canceled,09-03-2016
Resort Hotel,1,36,2017,January,1,2,3,7,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,42,0,2,Canceled,22-12-2016
Resort Hotel,0,15,2017,February,6,11,2,1,2,0,1,BB,PRT,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,240,,0,Transient,65,1,2,Check-Out,14-02-2017
City Hotel,1,41,2017,March,13,31,2,4,1,0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,,0,Transient,138.13,0,0,Canceled,07-03-2017
City Hotel,1,52,2017,August,33,18,1,2,2,0,0,HB,NLD,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,,0,Transient,208,0,1,Canceled,30-06-2017
City Hotel,0,6,2016,November,46,10,0,1,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,243,0,Transient,109.65,0,0,Check-Out,11-11-2016
Resort Hotel,0,120,2015,December,49,4,2,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,240,,0,Transient,32.4,0,1,Check-Out,08-12-2015
Resort Hotel,1,32,2017,March,10,10,2,3,2,0,0,BB,POL,Direct,Direct,0,0,0,G,G,0,No Deposit,250,,0,Transient,97,0,0,Canceled,07-02-2017
City Hotel,0,8,2017,March,12,23,0,1,1,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,10,,0,Transient,80,0,0,Check-Out,24-03-2017
City Hotel,1,97,2015,October,41,5,1,3,1,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,29,,0,Transient,140,0,0,Canceled,03-07-2015
Resort Hotel,1,211,2017,August,33,19,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,203.75,0,1,Canceled,08-07-2017
Resort Hotel,0,17,2016,October,41,7,0,2,2,2,0,BB,USA,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,,0,Transient,161,1,0,Check-Out,09-10-2016
City Hotel,0,38,2015,September,38,14,2,5,2,0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Contract,101.83,0,1,Check-Out,21-09-2015
Resort Hotel,0,26,2016,December,50,4,2,2,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,8,,0,Transient,50,0,0,Check-Out,08-12-2016
City Hotel,0,29,2016,October,41,5,1,4,2,0,0,BB,POL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,,0,Transient,161,0,2,Check-Out,10-10-2016
Resort Hotel,0,25,2017,July,28,13,0,2,2,0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,144,0,1,Check-Out,15-07-2017
Resort Hotel,0,245,2016,September,40,26,3,7,2,0,0,HB,CN,Groups,TA/TO,0,0,0,A,A,0,No Deposit,15,,0,Transient-Party,82,0,0,Check-Out,06-10-2016
City Hotel,1,451,2016,May,21,16,1,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1,,0,Transient,60,0,0,Canceled,14-03-2016
City Hotel,1,297,2015,August,33,10,1,1,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,,0,Transient-Party,62,0,0,Canceled,02-07-2015
Resort Hotel,0,24,2016,January,5,28,2,5,1,0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,171,,0,Transient,25,0,0,Check-Out,04-02-2016
Resort Hotel,0,8,2015,September,39,25,0,2,2,0,0,HB,ESP,Online TA,TA/TO,0,0,0,E,E,1,No Deposit,240,,0,Transient,136.5,0,1,Check-Out,27-09-2015
City Hotel,0,109,2017,April,17,28,2,2,2,0,0,SC,SWE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,101.25,0,0,Check-Out,02-05-2017
City Hotel,1,129,2017,June,22,2,1,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,154,,0,Transient,130,0,0,Canceled,24-01-2017
City Hotel,0,188,2016,September,39,22,0,2,2,0,0,BB,FIN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,135.9,1,2,Check-Out,24-09-2016
City Hotel,0,99,2017,April,15,12,0,2,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,130.5,1,0,Check-Out,14-04-2017
Resort Hotel,0,6,2017,July,28,14,2,5,2,0,0,HB,ESP,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,242,,0,Transient,239.66,0,1,Check-Out,21-07-2017
City Hotel,0,256,2016,August,36,31,0,4,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient-Party,90.95,0,0,Check-Out,04-09-2016
Resort Hotel,0,322,2016,June,26,22,0,3,2,0,0,HB,POL,Groups,Direct,0,0,0,A,A,0,No Deposit,,,75,Transient-Party,92,0,0,Check-Out,25-06-2016
Resort Hotel,0,6,2016,February,9,21,2,0,1,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240,,0,Transient,43,0,1,Check-Out,23-02-2016
City Hotel,0,34,2017,January,3,18,0,1,1,0,0,BB,ESP,Groups,TA/TO,0,0,0,A,A,0,No Deposit,19,,0,Transient-Party,75,0,0,Check-Out,19-01-2017
Resort Hotel,0,7,2016,March,13,21,1,0,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,177,,0,Transient,29,0,1,Check-Out,22-03-2016
City Hotel,1,57,2017,August,33,15,0,4,2,0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,160,0,1,Canceled,21-06-2017
City Hotel,1,119,2017,May,19,11,0,3,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,,0,Transient,148.8,0,1,Canceled,13-04-2017
City Hotel,0,45,2017,August,33,16,0,3,3,0,0,BB,AUT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,83,,0,Transient,139.4,0,0,Check-Out,19-08-2017
Resort Hotel,1,111,2015,August,32,5,0,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,240,,0,Transient,154,0,1,Canceled,15-06-2015
City Hotel,1,98,2016,November,48,26,1,1,2,0,0,SC,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,79.2,0,2,Canceled,23-08-2016
City Hotel,0,121,2017,April,15,15,1,1,2,0,0,BB,AUS,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,85,,0,Transient,89.1,0,1,Check-Out,17-04-2017
City Hotel,1,322,2016,December,50,9,0,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,20,,0,Transient,52,0,0,Canceled,15-03-2016
City Hotel,1,335,2015,September,38,17,0,1,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,5,,0,Transient,75,0,0,Canceled,14-05-2015
Resort Hotel,0,287,2015,October,42,15,2,6,2,0,0,BB,BEL,Groups,Corporate,0,0,0,A,A,2,No Deposit,,223,0,Transient-Party,44.5,0,0,Check-Out,23-10-2015
City Hotel,0,72,2015,December,52,24,0,3,2,0,1,BB,ESP,Direct,Direct,0,0,0,A,A,1,No Deposit,14,,0,Transient,85.5,0,1,Check-Out,27-12-2015
